ID ,TAG ID ,TIPOLOGIA ,TITOLO,Anno,Provenienza,AUTORE ,TIMESTAMP
0,96,tipologia IH6GPL01MU,titolo C5WENM0VYY,1932,citta K7B0DQUECG,Nome autore 0,1663924638
1,37,tipologia 4LGA6VOFP8,titolo V8KSNR5JLO,1932,citta 6FEDVT8YRL,Nome autore 1,1663924638
2,90,tipologia 70DW7W1035,titolo ESBFRJS25E,2013,citta 2SVE11B33V,Nome autore 2,1663924638
3,86,tipologia 1QP2UD7QOO,titolo YJAGOY1Q66,2012,citta CTW4MBLOGP,Nome autore 3,1663924638
4,23,tipologia R3C6QVNMK1,titolo 0O1RCNOF9P,1956,citta M7079RQXW7,Nome autore 4,1663924638
5,69,tipologia CETVEZ9KDZ,titolo FDO1Z7MGV5,1927,citta 2IDWOCD76L,Nome autore 5,1663924638
6,96,tipologia PMRSLVF884,titolo CXJ570PMUJ,1946,citta O5LNXC47ZT,Nome autore 6,1663924638
7,36,tipologia W287UAU57W,titolo U9JY9N13CA,1999,citta QY8EV0J00Z,Nome autore 7,1663924638
8,65,tipologia 58FZXOJC63,titolo QIKVM73E67,1984,citta Z2YKMEKOBK,Nome autore 8,1663924638
9,55,tipologia 2X6CM8SLTF,titolo MZ3328J7TN,2010,citta 8P4GRNU8AE,Nome autore 9,1663924638
10,34,tipologia K3IC386ZFP,titolo JZN698PWWZ,2004,citta 157FAQSW7H,Nome autore 10,1663924638
11,93,tipologia 4YH5IZ2HSF,titolo RLLAZ2PDFU,1960,citta OCUMIPF1Y1,Nome autore 11,1663924638
12,23,tipologia TE2F0OG2VQ,titolo CWRFZMTY4F,1943,citta PZPII5EDK4,Nome autore 12,1663924638
13,67,tipologia TU3NWZFVZU,titolo U3NJ77OFIE,1977,citta VUXETHQUBF,Nome autore 13,1663924638
14,68,tipologia F29764VU43,titolo VVNHBLDFKW,2013,citta 25D7KFFX6J,Nome autore 14,1663924638
15,46,tipologia Y5AHW4XONA,titolo BFTV1A9ZGL,2006,citta O7HU89PFAZ,Nome autore 15,1663924638
16,96,tipologia I227HAIHXW,titolo JZ9RDDRMN0,1985,citta 58D3JCANCB,Nome autore 16,1663924638
17,9,tipologia K4R2AYVXUD,titolo 64U3U6K050,1993,citta 8RGNRDL7RM,Nome autore 17,1663924638
18,10,tipologia BWW57DAWC2,titolo TO538LRCAG,1930,citta VD6E8NKAZ9,Nome autore 18,1663924638
19,13,tipologia QESYYK8U7D,titolo QG8Q0YJOJQ,1911,citta W20G3CXUV1,Nome autore 19,1663924638
20,88,tipologia 9YWRDY2JQ6,titolo FPFL9KBNEZ,1998,citta PBUVPGWMVM,Nome autore 20,1663924638
21,14,tipologia MPN0Q6P4BO,titolo TPXKTPMT48,2015,citta YXIP1AZ04C,Nome autore 21,1663924638
22,17,tipologia IQE09U5J3F,titolo SUAKWOLVF4,2005,citta BEN1LN5A3B,Nome autore 22,1663924638
23,79,tipologia 48BRPXBX1E,titolo VUNXBC8AYM,1983,citta DQSKIXNCOJ,Nome autore 23,1663924638
