id;tag_id;titolo;tipologia;anno;provenienza;autore;source_file;data_creazione;fonte;secolo
0;96;titolo C5WENM0VYY;Tipologia Ih6gpl01mu;1932;Citta K7b0dquecg;Nome Autore 0;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
1;37;titolo V8KSNR5JLO;Tipologia 4lga6vofp8;1932;Citta 6fedvt8yrl;Nome Autore 1;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
2;90;titolo ESBFRJS25E;Tipologia 70dw7w1035;2013;Citta 2sve11b33v;Nome Autore 2;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
3;86;titolo YJAGOY1Q66;Tipologia 1qp2ud7qoo;2012;Citta Ctw4mblogp;Nome Autore 3;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
4;23;titolo 0O1RCNOF9P;Tipologia R3c6qvnmk1;1956;Citta M7079rqxw7;Nome Autore 4;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
5;69;titolo FDO1Z7MGV5;Tipologia Cetvez9kdz;1927;Citta 2idwocd76l;Nome Autore 5;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
6;96;titolo CXJ570PMUJ;Tipologia Pmrslvf884;1946;Citta O5lnxc47zt;Nome Autore 6;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
7;36;titolo U9JY9N13CA;Tipologia W287uau57w;1999;Citta Qy8ev0j00z;Nome Autore 7;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
8;65;titolo QIKVM73E67;Tipologia 58fzxojc63;1984;Citta Z2ykmekobk;Nome Autore 8;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
9;55;titolo MZ3328J7TN;Tipologia 2x6cm8sltf;2010;Citta 8p4grnu8ae;Nome Autore 9;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
10;34;titolo JZN698PWWZ;Tipologia K3ic386zfp;2004;Citta 157faqsw7h;Nome Autore 10;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
11;93;titolo RLLAZ2PDFU;Tipologia 4yh5iz2hsf;1960;Citta Ocumipf1y1;Nome Autore 11;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
12;23;titolo CWRFZMTY4F;Tipologia Te2f0og2vq;1943;Citta Pzpii5edk4;Nome Autore 12;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
13;67;titolo U3NJ77OFIE;Tipologia Tu3nwzfvzu;1977;Citta Vuxethqubf;Nome Autore 13;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
14;68;titolo VVNHBLDFKW;Tipologia F29764vu43;2013;Citta 25d7kffx6j;Nome Autore 14;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
15;46;titolo BFTV1A9ZGL;Tipologia Y5ahw4xona;2006;Citta O7hu89pfaz;Nome Autore 15;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
16;96;titolo JZ9RDDRMN0;Tipologia I227haihxw;1985;Citta 58d3jcancb;Nome Autore 16;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
17;9;titolo 64U3U6K050;Tipologia K4r2ayvxud;1993;Citta 8rgnrdl7rm;Nome Autore 17;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
18;10;titolo TO538LRCAG;Tipologia Bww57dawc2;1930;Citta Vd6e8nkaz9;Nome Autore 18;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
19;13;titolo QG8Q0YJOJQ;Tipologia Qesyyk8u7d;1911;Citta W20g3cxuv1;Nome Autore 19;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
20;88;titolo FPFL9KBNEZ;Tipologia 9ywrdy2jq6;1998;Citta Pbuvpgwmvm;Nome Autore 20;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
21;14;titolo TPXKTPMT48;Tipologia Mpn0q6p4bo;2015;Citta Yxip1az04c;Nome Autore 21;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
22;17;titolo SUAKWOLVF4;Tipologia Iqe09u5j3f;2005;Citta Ben1ln5a3b;Nome Autore 22;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
23;79;titolo VUNXBC8AYM;Tipologia 48brpxbx1e;1983;Citta Dqskixncoj;Nome Autore 23;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
24;40;titolo XTWLQOV0DL;Tipologia Met7himnxp;1956;Citta V916yctany;Nome Autore 24;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
25;40;titolo QCSDYGD7NO;Tipologia 6virxfihp5;1917;Citta 386svufsdd;Nome Autore 25;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
26;73;titolo 9KPK8K7L2A;Tipologia 056bba1gwb;1990;Citta 22qr62uraj;Nome Autore 26;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
27;85;titolo 5QZ8Y4P3M1;Tipologia 5i9cq68iv2;1944;Citta W26l43axxc;Nome Autore 27;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
28;67;titolo MBWQJ66VKW;Tipologia 28tdl1mzt3;1912;Citta 63ee54hdsk;Nome Autore 28;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
29;74;titolo S3Y61NH78F;Tipologia Inyl7gy519;2008;Citta T6zmnu35e9;Nome Autore 29;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
30;54;titolo WL09P337JL;Tipologia Z04gm1ibsk;1930;Citta Um9k50f2qs;Nome Autore 30;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
31;51;titolo QI477N0EBM;Tipologia 8au213o6ye;1970;Citta 102jg7i5sc;Nome Autore 31;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;20
32;99;titolo LT2UMRURHX;Tipologia Lockyb73vs;2002;Citta Zr0xo4cq5i;Nome Autore 32;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_10000.csv;2022-09-23T11:17:18.000+02:00;test;21
