id;tag_id;titolo;tipologia;anno;provenienza;autore;source_file;data_creazione;fonte;secolo
0;98;titolo N6ML2DBO7C;Tipologia Kbsgm7lu8e;1980;Citta V6sa591ro1;Nome Autore 0;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;20
1;99;titolo 95M78WVCRH;Tipologia 0zyrcx1icr;2006;Citta 0nlc9j2oiz;Nome Autore 1;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;21
2;33;titolo WHAXMNLQVP;Tipologia Qqch0zqesl;1939;Citta Xgz6re9892;Nome Autore 2;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;20
3;92;titolo ZXNU3S2M35;Tipologia Fk8g6q4rbj;1942;Citta Pvp2k4wd6u;Nome Autore 3;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;20
4;20;titolo FY9IY0ZMNW;Tipologia Zd8s64lz8a;2006;Citta Q1fp958wjn;Nome Autore 4;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;21
5;67;titolo XKBUVN8KBB;Tipologia Xowaykl11x;1967;Citta L4g1008i8u;Nome Autore 5;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;20
6;78;titolo JUZ15WET8U;Tipologia H9s5tta4sw;1964;Citta Ucao9fgxhp;Nome Autore 6;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;20
7;41;titolo YJKOOBB3I8;Tipologia Cjrl5hi5nj;1901;Citta Xat4e4ipl6;Nome Autore 7;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;20
8;10;titolo IC4EAT5LGD;Tipologia Ojlj6so9ql;1981;Citta Ctik9lb8kx;Nome Autore 8;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;20
9;41;titolo GGAC69HJPB;Tipologia Xqxw1mz6vm;1906;Citta Uj4sir3t64;Nome Autore 9;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_1000.csv;2022-09-23T11:17:18.000+02:00;test;20
