id;tag_id;titolo;tipologia;anno;provenienza;autore;source_file;data_creazione;fonte;secolo
0;13;titolo TMWW5TQPJL;Tipologia Lircjm68db;1997;Citta Afg3algtx1;Nome Autore 0;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;20
1;50;titolo O1YWTK881R;Tipologia 33plpqvqfx;2004;Citta Tgq8sq2qxk;Nome Autore 1;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;21
2;73;titolo LG1IJWYCO6;Tipologia Sf2ac0ay8h;1978;Citta Aad7xqko9c;Nome Autore 2;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;20
3;37;titolo U9G4H6LDGV;Tipologia Yc5fkvett2;2004;Citta C7wtfwbw5g;Nome Autore 3;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;21
4;53;titolo P21W6BS4XS;Tipologia I2v8pdxknv;2016;Citta Tnuotakq5d;Nome Autore 4;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;21
5;19;titolo HULZNR0LVC;Tipologia Qed4t8ssoe;1952;Citta Spxv5jv0rf;Nome Autore 5;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;20
6;96;titolo VQV03TY7U6;Tipologia Bxlw5p2vab;1964;Citta Wnr97he6xg;Nome Autore 6;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;20
7;98;titolo KS2E8JOWAW;Tipologia J4u14cbr8s;2011;Citta 0fnu0poc87;Nome Autore 7;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;21
8;80;titolo A0VHNBG97H;Tipologia W8py1fetih;2002;Citta Lxthrdwbam;Nome Autore 8;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;21
9;21;titolo K5BGCLIRO5;Tipologia 76ip8b757g;1943;Citta Bxu3hhc5tg;Nome Autore 9;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/lista/test/processed/raw_opere_100.csv;2022-09-23T11:17:18.000+02:00;test;20
